+----------------------------------+--------------+----------------------------------------------------------------------------------------------------------------+---------------------+---------------------+---------------------+-----------+
| token                            | weights_type | title                                                                                                          | created_at          | user_deleted_at     | mod_deleted_at      | use_count |
| weight_46379envh0zkfsbpp3scmxtem | tt2          | LISA (BLACKPINK) (Speaking)                                                                                    | 2023-02-15 01:51:27 | NULL                | NULL                |    129293 |
| weight_jazc270pdr3qe0yer61a5cvh5 | tt2          | Donald Trump (Sarcastic)                                                                                       | 2022-09-05 13:45:34 | NULL                | NULL                |    125189 |
| weight_s4bmmamst4a7ca2pg7tc52zwx | tt2          | Goku (Jose Antonio Gavira) (Castillian Spanish)                                                                | 2022-09-18 15:09:32 | NULL                | NULL                |    123871 |
| weight_cvfphs6ke08g9hjges21f23wx | tt2          | Hank Hill (Old)                                                                                                | 2021-09-10 06:15:04 | NULL                | NULL                |    120330 |
| weight_18rrq46gy04yp2brtqc9rw84b | tt2          | Morgan Freeman Acento Latino                                                                                   | 2022-07-11 00:57:34 | NULL                | NULL                |    119817 |
| weight_x1skxjvtstnx5ng7b5gacmty2 | tt2          | Morgan Freeman (trained by justinjohn-03)                                                                      | 2021-10-19 02:56:55 | NULL                | NULL                |    119500 |
| weight_4a7xmxnycvhf131gcrqjxgfxd | tt2          | El Mariana                                                                                                     | 2022-07-26 14:51:49 | NULL                | NULL                |    117216 |
| weight_ze7s2pqbg3a52fkrd5cwd6k7a | tt2          | Illojuan (Español)                                                                                             | 2022-07-19 18:31:37 | NULL                | NULL                |    116844 |
| weight_gc8gsr41974q5ax35gvttr85v | tt2          | Papa Francesco                                                                                                 | 2022-10-24 16:41:55 | NULL                | NULL                |    116724 |
| weight_34vt3stah9xyts72zrya85vc9 | tt2          | "Arthur C. Clarke" (901ep)                                                                                     | 2022-04-15 08:34:03 | NULL                | NULL                |    116322 |
| weight_ekwz4cqek5rrdez73rgy843ft | tt2          | Donald Trump (Version 2.0)                                                                                     | 2023-04-02 19:28:26 | NULL                | NULL                |    115671 |
| weight_tq6pwerrbr4mvbjmtyhbsqe6t | tt2          | Spongebob SquarePants (New)                                                                                    | 2023-04-01 10:47:13 | NULL                | NULL                |    115662 |
| weight_jxq6ww8mg6zngshn851mpbdvz | tt2          | Cell Perfecto (Latin)                                                                                          | 2022-09-12 21:13:07 | NULL                | NULL                |    115240 |
| weight_jqz6egmctfy8czt7ra80dxxt3 | tt2          | Coscu (Streamer, Latin American Spanish)                                                                       | 2022-03-03 08:07:58 | NULL                | NULL                |    114030 |
| weight_z08y522wjtc4y2q3ydzhdz3ay | tt2          | Stewie Griffin                                                                                                 | 2022-08-01 13:25:10 | NULL                | NULL                |    113482 |
| weight_fr05myf92wfnbzvp6fdww751h | tt2          | Shakira (Español)                                                                                              | 2022-07-28 23:30:37 | NULL                | NULL                |    112491 |
| weight_nr4yy0wk60q538j1170csja56 | tt2          | Sir David Attenborough                                                                                         | 2021-08-27 02:14:55 | NULL                | NULL                |    112357 |
| weight_40ry1g0phbwgmkyqwmbn9yk0q | tt2          | Piccolo (Español)                                                                                              | 2022-08-09 02:55:36 | NULL                | NULL                |    109327 |
| weight_ymd61ypk23v0d3xxnwx6t5dcg | tt2          | Queen Elizabeth II                                                                                             | 2021-09-01 18:58:48 | NULL                | NULL                |    108466 |
| weight_m7ns3pee2hze7r5hs3c1c5ew3 | tt2          | Fernanfloo. (Modelo más expresivo.) (Latin American Spanish.)                                                  | 2023-01-02 00:16:04 | NULL                | NULL                |    107410 |
| weight_z4v3k3eq4z0tzbr1fs7bnhqgy | tt2          | Frieza (Español, Latin)                                                                                        | 2022-03-06 15:11:12 | NULL                | NULL                |    107143 |
| weight_6rn0h4yptmnjcjsm6sc6pxty1 | tt2          | Luisito Comunica                                                                                               | 2022-07-31 18:48:23 | NULL                | NULL                |    107078 |
| weight_s0xzp0ngh4fec34tqehszbyer | tt2          | Mike Ehrmantraut (Old)                                                                                         | 2022-09-04 23:31:47 | NULL                | NULL                |    104319 |
| weight_zqtq9z9syt1p54fd18m3zchhq | tt2          | Niño Gohan (español)                                                                                           | 2022-08-18 17:49:46 | NULL                | NULL                |    101805 |
| weight_zs395kvjyc3kd3q04vfs2sx1b | tt2          | Bugs Bunny (español)                                                                                           | 2022-08-26 06:10:24 | NULL                | NULL                |    101147 |
| weight_8f3r8hwt0j58j68ayzzfgsh8h | tt2          | Barack Obama (NEW, 44th U.S. President)                                                                        | 2023-03-21 19:40:00 | NULL                | NULL                |    100933 |
| weight_ek0xmcy9ecvv1rrnp3d3xtq86 | tt2          | Bob Esponja Latino (Temporada 1)                                                                               | 2022-08-23 15:29:11 | NULL                | NULL                |     99523 |
| weight_8mkmh33th2tpc36m2mq6xnvv7 | tt2          | El Xocas                                                                                                       | 2022-08-20 20:16:57 | NULL                | NULL                |     98972 |
| weight_bvqzkddpwk0y6t5z9k3tqdmkt | tt2          | Darth Vader (Español)                                                                                          | 2022-02-26 06:58:09 | NULL                | NULL                |     95833 |
| weight_s1rdjqqgtg1db6rw7fnrppchj | tt2          | Engineer (Team Fortress 2) (Dataset by Vegito1089)                                                             | 2023-05-11 18:53:14 | NULL                | NULL                |     95749 |
| weight_nq2j29s2cjt57rhxk69p1zmzr | tt2          | Heavy (TF2, Old)                                                                                               | 2023-08-04 21:52:37 | NULL                | NULL                |     95153 |
| weight_wz80mvmn9hjtb6a59keg4s2fr | tt2          | El Gato con Botas                                                                                              | 2023-01-31 18:18:10 | NULL                | NULL                |     94370 |
| weight_7a9vvm9hyd9h1pjvw5g9epcq9 | tt2          | Narrador (Latin American Spanish)                                                                              | 2022-02-15 20:31:57 | NULL                | NULL                |     91423 |
| weight_eppmk3j70411g7rn63q93mesz | tt2          | Eminem (Slim Shady era - 1997 - 2001)                                                                          | 2022-07-28 17:21:28 | NULL                | NULL                |     90570 |
| weight_d2b71838459zfyzs9njy9qv94 | tt2          | Drake                                                                                                          | 2021-09-23 00:47:10 | NULL                | NULL                |     90465 |
| weight_2t3cskj1xfhj3qvcarvv23n20 | tt2          | Lois Griffin (Family Guy, Alex Borstein)                                                                       | 2021-11-02 18:37:08 | NULL                | NULL                |     87233 |
| weight_fdcf1csc43mmnza5t9pbdhs5c | tt2          | Medic TF2 (Hi-Fi GAN)                                                                                          | 2022-04-28 13:05:41 | NULL                | NULL                |     86274 |
| weight_nhhq3tkzw44pqb9tj5y5bevt4 | tt2          | Vegeta777 (Samuel De Luque) beta                                                                               | 2022-07-11 08:11:17 | NULL                | NULL                |     86235 |
| weight_p6ydv49a3swmzbtrh7hz7mrp9 | tt2          | Spreen                                                                                                         | 2023-05-05 04:27:05 | NULL                | NULL                |     85678 |
| weight_zfhv2evdrwgztwd01z29gdnp6 | tt2          | William Bonner                                                                                                 | 2022-02-13 23:03:46 | NULL                | NULL                |     85504 |
| weight_31ewdsvev9bttgb4eg7zy7mj5 | tt2          | Morgan Freeman (New)                                                                                           | 2023-09-08 05:20:34 | NULL                | NULL                |     85479 |
| weight_92ecpnwtdqy67zxwm7rceygq2 | tt2          | The Joker (Mark Hamill)                                                                                        | 2022-12-23 23:56:14 | NULL                | NULL                |     85409 |
| weight_1ptwk6pa8krh3ykfr7rztf3pz | tt2          | Sicilian Electrician                                                                                           | 2021-06-29 09:38:32 | NULL                | NULL                |     83109 |
| weight_d93dk482gjrvxjssvkeh1jp7m | tt2          | Soldier TF2 (Hi-Fi GAN)                                                                                        | 2022-10-05 17:14:20 | NULL                | NULL                |     81570 |
| weight_5n8yysv8fbptd8f874ganxbfp | tt2          | Vegeta (Castillian Spanish) (Dragon Ball Z)                                                                    | 2022-09-24 11:11:42 | NULL                | NULL                |     81512 |
| weight_95ktjdh575wwv4vwxyf25n93j | tt2          | El Chavo del 8 animado (Latin American Spanish)                                                                | 2022-03-02 19:10:18 | 2022-08-21 13:04:44 | NULL                |     81507 |
| weight_02gyk7cmjjtn0hpe74qd5v7ga | tt2          | HolaSoyGerman  (Germán Garmendia, JuegaGerman)                                                                 | 2022-08-06 23:28:24 | NULL                | NULL                |     81381 |
| weight_n8k62d2j9jp0y6najxab157bn | tt2          | The Weeknd                                                                                                     | 2021-09-23 00:46:04 | NULL                | NULL                |     81360 |
| weight_5bxbp9xqy61svfx03b25ezmwx | tt2          | Mr. Krabs (Clancy Brown)                                                                                       | 2022-01-29 06:29:40 | NULL                | NULL                |     80707 |
| weight_9pjfxeejmd6qzx141de1s3vgy | tt2          | Ibai LLanos                                                                                                    | 2023-02-24 19:04:49 | NULL                | NULL                |     80607 |
| weight_v85kdqvb2p4m65fh18bfganwq | tt2          | Vegeta. (IMITADORES.) (Dragon Ball, Latin American Spanish.)                                                   | 2022-12-25 13:38:49 | NULL                | NULL                |     79840 |
| weight_883h5cw4q48cpsmjvjypxs0dc | tt2          | Peter Griffin (Classic, Version 1.0)                                                                           | 2022-04-24 07:23:44 | NULL                | NULL                |     79349 |
| weight_mqppqpwm7pp8sbpnewy94pjtq | tt2          | Snoop Dogg (V2) (Rapping)                                                                                      | 2022-05-22 11:18:53 | NULL                | NULL                |     78994 |
| weight_t0y9rpba3qjnq02da44ynfs45 | tt2          | Peter Griffin (italian)                                                                                        | 2022-09-21 22:01:03 | NULL                | NULL                |     78075 |
| weight_ytna28rq62as8t5zb0qtpf3p6 | tt2          | Homero Simpson Español Latino (Clasico)                                                                        | 2023-01-20 23:43:12 | NULL                | NULL                |     77983 |
| weight_h7c4q301d99nk511fw5vkpyav | tt2          | Chiquito de la Calzada. (Castillian Spanish.)                                                                  | 2023-03-03 15:54:14 | NULL                | NULL                |     77717 |
| weight_tqpbyrp6t9rmdez9c38zzvp0z | tt2          | Yoda (Version 2.0)                                                                                             | 2023-02-08 20:01:50 | NULL                | NULL                |     77377 |
| weight_0n054phksrnngy5rsr4mdtmk0 | tt2          | Drake Bell (Drake and Josh, Latin American Spanish)                                                            | 2022-02-13 14:08:25 | NULL                | NULL                |     76440 |
| weight_t4r6n3g3grhfsk18z68r35gp1 | tt2          | Rick Sanchez (Version 1.0)                                                                                     | 2022-03-13 19:43:31 | NULL                | NULL                |     76011 |
| weight_ggg5ym6j4dd5rmhvz2yxhcxw8 | tt2          | Eric Cartman (South Park, Latin American Spanish)                                                              | 2022-07-09 04:53:57 | NULL                | NULL                |     75828 |
| weight_6xt6wfgtk4c79hg0wkrv63kf6 | tt2          | Elon Musk (New Version 2.0)                                                                                    | 2023-01-02 09:10:51 | NULL                | NULL                |     75518 |
| weight_2t8r1mbeg26rv6s41hmj2vdd1 | tt2          | Quackity (Spanish Version)                                                                                     | 2023-03-27 22:19:56 | NULL                | NULL                |     74807 |
| weight_xn5k6j10w4aa10kazzkmcweer | tt2          | Angela Merkel                                                                                                  | 2022-11-17 23:21:29 | NULL                | NULL                |     74488 |
| weight_wc2z99gqkb67mp93fr3804jsn | tt2          | Jarvis (V1) (Paul bettany)                                                                                     | 2022-09-19 01:58:09 | NULL                | NULL                |     74376 |
| weight_b0qcqrggxewsjcqhk9yz6ppe4 | tt2          | Quandale Dingle (Version 1.0)                                                                                  | 2022-08-09 09:38:33 | NULL                | NULL                |     73946 |
| weight_27dfwvg4sev2amn4mhkjekh3q | tt2          | El Chavo Del 8 Animado (Latino)                                                                                | 2022-08-21 13:06:46 | NULL                | NULL                |     73885 |
| weight_cjd3mdpbfgyhx08pv34fbkp00 | tt2          | Maria De Filippi(Conduttrice televisiva)                                                                       | 2022-10-21 06:31:33 | NULL                | NULL                |     73113 |
| weight_9rd422nfa2cyjtamn7sg5d4rj | tt2          | Naruto Uzumaki. (Naruto, Latin American Spanish.) Versión Lite.                                                | 2023-01-14 18:18:24 | NULL                | NULL                |     72419 |
| weight_z3h2r51d5hzvj86v74hd837md | tt2          | Patricio Estrella Español Latino (Temporadas 1 - 3)                                                            | 2022-08-08 00:34:47 | NULL                | NULL                |     70640 |
| weight_wra6gbgvvw6rhjsdg6v84qmd5 | tt2          | Arnold Schwarzenegger (Movies, Version 1.0)                                                                    | 2021-11-26 15:50:47 | NULL                | 2024-08-16 22:59:07 |     70354 |
| weight_bzr7gmryd4qv1ewtrwx64hy7d | tt2          | Tracer (Overwatch)                                                                                             | 2021-09-24 16:55:11 | NULL                | NULL                |     69442 |
| weight_mxbmpwev5vgqmqx96317j337d | tt2          | Mario (Super Mario Franchise)                                                                                  | 2021-11-02 23:00:56 | NULL                | NULL                |     69007 |
| weight_h371r5t4k84n7vw5eba07fxp4 | tt2          | Lisa Simpson (Español)                                                                                         | 2022-04-26 03:11:39 | NULL                | NULL                |     68920 |
| weight_08me612gejmf6q1r27cavpjyn | tt2          | Solid Snake (New)                                                                                              | 2023-01-06 10:17:30 | NULL                | NULL                |     67694 |
| weight_exb77wtz475c3pc0y9b5a5s3k | tt2          | Auron (época de Twitch)                                                                                        | 2022-11-15 00:41:43 | NULL                | NULL                |     66642 |
| weight_9pg7wx8p58hv1waees13jfyyp | tt2          | Shrek (español)                                                                                                | 2023-02-23 08:43:07 | NULL                | NULL                |     66006 |
| weight_fh57j9399rqvmqjdc192s2pk7 | tt2          | Tom Holland                                                                                                    | 2023-02-15 16:25:19 | NULL                | NULL                |     65892 |
| weight_5r8ecacq30g9pnm6dvgp30f02 | tt2          | Walter White (Old)                                                                                             | 2022-06-02 01:44:33 | NULL                | NULL                |     65594 |
| weight_4w6639bep6jxgsj2d9z3tr2zx | tt2          | Daffy Duck                                                                                                     | 2022-07-14 16:01:21 | NULL                | NULL                |     65125 |
| weight_q6ah8yp9b6tccwpdv62d5jb0c | tt2          | Naruto Uzumaki (Maile Flanagan)                                                                                | 2021-10-07 06:19:49 | NULL                | 2022-12-22 19:02:54 |     63675 |
| weight_6qz5xjw6sqdtn81zhbbzwkjrk | tt2          | Unsolved Mysteries Narrator (Robert Stack)                                                                     | 2022-01-08 05:40:31 | NULL                | NULL                |     63655 |
| weight_0xbvyg695cnk2payn3hc61yc9 | tt2          | Cortana (Halo, Español Latino) (REMAKE) model                                                                  | 2023-02-04 06:33:41 | NULL                | NULL                |     63640 |
| weight_286jahq0zfbne3qxdz685g51e | tt2          | Thanos. (Marvel Studios, Latin American Spanish.)                                                              | 2022-10-27 04:14:24 | NULL                | NULL                |     63119 |
| weight_h8t4b97nqb6wphgerjgf43106 | tt2          | Brian Griffin (Classic)                                                                                        | 2023-04-06 12:29:21 | NULL                | NULL                |     62795 |
| weight_k823p8t1wepq37zfvj8vnzw4k | tt2          | Vegeta777 (Samuel de Luque) beta                                                                               | 2022-03-26 12:17:41 | 2022-07-11 07:47:03 | NULL                |     62689 |
| weight_5sagnfzcpbxs3ybr3pxhkh5k0 | tt2          | Juan Guarnizo                                                                                                  | 2022-07-21 16:48:06 | NULL                | NULL                |     62436 |
| weight_czejrzfqd76ka4krpqvgwt9fs | tt2          | MrBeast                                                                                                        | 2021-09-11 22:55:05 | NULL                | NULL                |     62187 |
| weight_q24vbqcrzn2hmbpvygzsy63w5 | tt2          | Peggy Hill (Kathy Najimy)                                                                                      | 2022-11-17 01:57:41 | NULL                | NULL                |     61577 |
| weight_pywpvcy2nezqzh6k1xw2gtqvb | tt2          | Cicciogamer89                                                                                                  | 2022-10-15 20:04:57 | 2024-02-28 01:33:02 | NULL                |     60737 |
| weight_xw19rednaje6g61cxv5vahxj2 | tt2          | Mariano Rajoy                                                                                                  | 2022-12-21 10:48:12 | NULL                | NULL                |     60677 |
| weight_1ymkznwdep5799fd073nzfbt8 | tt2          | Bob Esponja Pantalones Cuadrados Latino (Temporada 2)                                                          | 2022-09-09 01:24:41 | NULL                | NULL                |     60523 |
| weight_4d45yqny3jyq78nwh7qh2cf72 | tt2          | Sir David Attenborough (Version 1.0)                                                                           | 2023-02-24 04:27:10 | NULL                | NULL                |     60297 |
| weight_5121101nh9wftskzd0xqhss5d | tt2          | Vegeta (Version 1.0, Chris Sabat, Modern)                                                                      | 2021-09-15 15:02:07 | NULL                | 2023-02-10 20:57:36 |     60017 |
| weight_h1xhb4pgxq90kfzmst43bcjch | tt2          | Giorgia Meloni                                                                                                 | 2022-10-08 02:09:35 | 2022-10-13 22:56:29 | NULL                |     59996 |
| weight_bc0tjv6fs7c1ccrtw8mbwxay5 | tt2          | Sir David Attenborough (Version 2.0)                                                                           | 2023-07-05 13:43:53 | NULL                | NULL                |     59585 |
| weight_q6fyv0bzhwcsg8ga0asqx5ggy | tt2          | Christian Martinoli (Relator de Futbol Mexicano)                                                               | 2023-02-28 20:15:05 | NULL                | NULL                |     59576 |
| weight_0f762jdzgsy1dhpb86qxy4ssm | tt2          | Rick Sanchez (Version 2.0)                                                                                     | 2023-05-14 05:26:03 | NULL                | NULL                |     58950 |
| weight_gw715v19femqp3x8v5vvagcrd | tt2          | The Rock (Dwayne Johnson)                                                                                      | 2022-07-12 22:22:04 | NULL                | NULL                |     58886 |
| weight_xxtg78hea5d5zrg1hbyqe81th | tt2          | Eric Cartman (current)                                                                                         | 2022-02-18 12:11:31 | NULL                | NULL                |     58584 |
| weight_bn604hwzr3ew711vr9wv17at0 | tt2          | Ghostface                                                                                                      | 2022-03-28 04:04:57 | NULL                | NULL                |     58581 |
| weight_padqjndhv573ngywx2g9mz6q2 | tt2          | Messi                                                                                                          | 2022-06-04 22:55:28 | NULL                | NULL                |     58252 |
| weight_jcg36pckfcw967axcam2t3f1z | tt2          | Barack Obama (aggressive, speech)                                                                              | 2022-02-18 02:19:39 | NULL                | NULL                |     57391 |
| weight_6qpmn1yyz2d2rjcxesgam11n2 | tt2          | Andrew Garfield                                                                                                | 2022-03-02 19:34:02 | NULL                | NULL                |     56947 |
| weight_e99hwy6bdazxm535ckaks6pna | tt2          | Narrador de Documentales                                                                                       | 2022-07-19 22:05:17 | NULL                | NULL                |     56302 |
| weight_pbbyrhz5t9hhnsgmyt059yk6v | tt2          | Marge Simpson (Español, Primeras Temporadas.)                                                                  | 2022-05-15 04:07:12 | NULL                | NULL                |     56260 |
| weight_zc4er0bk05jx6t3h562zj858m | tt2          | Alan Garcia (Ex presidente del Peru)                                                                           | 2022-08-01 21:52:36 | NULL                | NULL                |     56207 |
| weight_m80j1m3yrh3t3we7hvjekceva | tt2          | Giuseppe Conte                                                                                                 | 2022-10-14 13:14:39 | NULL                | NULL                |     55988 |
| weight_4djmjqzk5sq5jyk1yp7n1pc94 | tt2          | Jesse Pinkman (Old)                                                                                            | 2023-07-17 15:52:48 | NULL                | NULL                |     55468 |
| weight_kfc9kqm18k4jc3q2j3acdzj1a | tt2          | Waldemaro Martienez (Locutor)                                                                                  | 2022-12-08 15:59:55 | NULL                | NULL                |     55465 |
| weight_9w7fdqs04jw8sjsgwxfvmr9xt | tt2          | Monokuma                                                                                                       | 2022-05-17 04:26:59 | NULL                | NULL                |     55103 |
| weight_rthfzn4b102812j0jj8kdzcsx | tt2          | Kid Gohan/Goku (Stephanie Nadolny)                                                                             | 2021-08-17 11:02:55 | NULL                | NULL                |     54851 |
| weight_pdxhwzfk98ve1n12cdpqcwayr | tt2          | Roberto Benigni                                                                                                | 2022-11-29 14:21:27 | NULL                | NULL                |     53930 |
